Time (YYYY-MM-DD hh:mm:ss);Time (ms);Time since start (s);Raw, Sensor 1 - H2 (MilliVolt);Sensor 1 - H2 (μmol/L);Cal. ID, Sensor 1 - H2;Raw, Sensor 2 - TEMP-UNIAMP (Temperature);Sensor 2 - TEMP-UNIAMP (°C);Cal. ID, Sensor 2 - TEMP-UNIAMP;Raw, Sensor 3 - Pressure (MilliVolt);Sensor 3 - Pressure (mbar);Cal. ID, Sensor 3 - Pressure;
2025-11-10 21:59:02;316;1039.651;13.5972995758057;13.1731996536255;2;19.9930992126465;19.9930992126465;0;993.869995117188;993.869995117188;0;
2025-11-10 21:59:03;316;1040.651;13.5792999267578;13.1559000015259;2;19.9957008361816;19.9957008361816;0;993.882995605469;993.882995605469;0;
2025-11-10 21:59:04;317;1041.652;13.6263999938965;13.2011003494263;2;19.9944000244141;19.9944000244141;0;993.887023925781;993.887023925781;0;
2025-11-10 21:59:05;318;1042.653;13.6301002502441;13.2046003341675;2;19.9918003082275;19.9918003082275;0;993.856018066406;993.856018066406;0;
2025-11-10 21:59:06;319;1043.654;13.5590000152588;13.1364002227783;2;19.9944000244141;19.9944000244141;0;993.833984375;993.833984375;0;
2025-11-10 21:59:07;320;1044.655;13.4195995330811;13.002799987793;2;19.9930992126465;19.9930992126465;0;993.846984863281;993.846984863281;0;
2025-11-10 21:59:08;320;1045.655;13.7051000595093;13.27649974823;2;19.9969005584717;19.9969005584717;0;993.906005859375;993.906005859375;0;
2025-11-10 21:59:09;329;1046.664;13.6665000915527;13.2395000457764;2;19.9957008361816;19.9957008361816;0;993.919982910156;993.919982910156;0;
2025-11-10 21:59:10;331;1047.666;13.8128004074097;13.3797998428345;2;19.9969997406006;19.9969997406006;0;993.916015625;993.916015625;0;
2025-11-10 21:59:11;332;1048.667;13.7322998046875;13.3024997711182;2;19.9930992126465;19.9930992126465;0;993.898010253906;993.898010253906;0;
2025-11-10 21:59:12;333;1049.668;13.6701002120972;13.2430000305176;2;19.9957008361816;19.9957008361816;0;993.880981445313;993.880981445313;0;
2025-11-10 21:59:13;334;1050.669;13.8555002212524;13.420599937439;2;19.99049949646;19.99049949646;0;993.880004882813;993.880004882813;0;
2025-11-10 21:59:14;346;1051.681;13.7859001159668;13.3540000915527;2;19.989200592041;19.989200592041;0;993.877014160156;993.877014160156;0;
2025-11-10 21:59:15;347;1052.682;13.8747997283936;13.4392004013062;2;19.99049949646;19.99049949646;0;993.880981445313;993.880981445313;0;
2025-11-10 21:59:16;348;1053.683;13.8870000839233;13.4507999420166;2;19.9930992126465;19.9930992126465;0;993.890991210938;993.890991210938;0;
2025-11-10 21:59:17;348;1054.683;13.7924995422363;13.3603000640869;2;20.0020999908447;20.0020999908447;0;993.85498046875;993.85498046875;0;
2025-11-10 21:59:18;350;1055.685;13.8145999908447;13.3815002441406;2;19.9866008758545;19.9866008758545;0;993.828979492188;993.828979492188;0;
2025-11-10 21:59:19;350;1056.685;13.8718004226685;13.43630027771;2;19.9944000244141;19.9944000244141;0;993.828002929688;993.828002929688;0;
2025-11-10 21:59:20;351;1057.686;14.0100002288818;13.5687999725342;2;19.9944000244141;19.9944000244141;0;993.856018066406;993.856018066406;0;
2025-11-10 21:59:21;352;1058.687;14.0141000747681;13.572699546814;2;19.9957008361816;19.9957008361816;0;993.867980957031;993.867980957031;0;
2025-11-10 21:59:22;354;1059.689;13.96399974823;13.5247001647949;2;19.99049949646;19.99049949646;0;993.867980957031;993.867980957031;0;
2025-11-10 21:59:23;354;1060.689;14.0144996643066;13.5731000900269;2;19.9930992126465;19.9930992126465;0;993.851989746094;993.851989746094;0;
2025-11-10 21:59:24;365;1061.7;14.0183000564575;13.5768003463745;2;19.9957008361816;19.9957008361816;0;993.857971191406;993.857971191406;0;
2025-11-10 21:59:25;366;1062.701;14.0996999740601;13.6548004150391;2;19.9930992126465;19.9930992126465;0;993.869995117188;993.869995117188;0;
2025-11-10 21:59:26;368;1063.703;14.0761995315552;13.6322002410889;2;19.9957008361816;19.9957008361816;0;993.888000488281;993.888000488281;0;
2025-11-10 21:59:27;369;1064.704;14.1440000534058;13.6971998214722;2;19.9969997406006;19.9969997406006;0;993.888977050781;993.888977050781;0;
2025-11-10 21:59:28;370;1065.705;14.0871000289917;13.6427001953125;2;19.9944000244141;19.9944000244141;0;993.879028320313;993.879028320313;0;
2025-11-10 21:59:29;380;1066.715;14.1335000991821;13.6871995925903;2;19.9957008361816;19.9957008361816;0;993.864990234375;993.864990234375;0;
2025-11-10 21:59:30;381;1067.716;14.2079000473022;13.7585000991821;2;19.9969997406006;19.9969997406006;0;993.861022949219;993.861022949219;0;
2025-11-10 21:59:31;382;1068.717;14.3062000274658;13.8526000976563;2;19.9969997406006;19.9969997406006;0;993.890991210938;993.890991210938;0;
2025-11-10 21:59:32;383;1069.718;14.1843004226685;13.7357997894287;2;19.9981994628906;19.9981994628906;0;993.906005859375;993.906005859375;0;
